date,total_messages,kurd_mentions,percent,percent_ma7,volume_ma7,scaled_volume_ma7,trend_delta
2024-09-08,1538,40,2.600780234070221,2.498343675839201,1843.0,4.24019646568213,-1.7418527898429295
2024-09-09,1179,36,3.053435114503817,2.5612286324656792,1929.4285714285713,4.43904297849026,-1.8778143460245809
2024-09-10,748,17,2.272727272727273,2.5560843878465596,1720.7142857142858,3.958853300452776,-1.4027689126062164
2024-09-11,1389,40,2.8797696184305255,2.6384677425621392,1609.0,3.7018318574511926,-1.0633641148890534
2024-09-12,483,16,3.3126293995859215,2.600278761459685,1618.142857142857,3.7228668604589945,-1.1225880989993096
2024-09-13,484,14,2.8925619834710745,2.7708134070355577,1191.142857142857,2.7404664856102317,0.030346921425326023
2024-09-14,1661,51,3.0704394942805537,2.8689061595813414,1068.857142857143,2.4591233203808773,0.4097828392004641
2024-09-15,1203,27,2.2443890274314215,2.8179931300615126,1021.0,2.349018226511913,0.4689749035495998
2024-09-16,980,14,1.4285714285714286,2.5858697463568854,992.5714285714286,2.2836125140345276,0.3022572323223578
2024-09-17,1367,29,2.121433796634967,2.5642563926294133,1081.0,2.4870604337506146,0.07719595887879871
2024-09-18,240,5,2.0833333333333335,2.450479780472672,916.8571428571429,2.1094163953761655,0.34106338509650636
2024-09-19,177,8,4.519774011299435,2.6229290107174594,873.1428571428571,2.0088427872451113,0.6140862234723481
2024-09-20,272,14,5.147058823529412,2.9449999878686506,842.8571428571429,1.9391643397817664,1.0058356480868842
2024-09-21,94,2,2.127659574468085,2.810317142181155,619.0,1.4241354380126092,1.3861817041685456
2024-09-22,582,13,2.2336769759450172,2.8087868491116685,530.2857142857143,1.2200301744525284,1.5887566746591402
2024-09-23,490,16,3.2653061224489797,3.0711775196656044,460.2857142857143,1.0589809326740425,2.012196586991562
2024-09-24,815,37,4.539877300613497,3.4166694488053944,381.42857142857144,0.8775540317317485,2.5391154170736456
2024-09-25,415,5,1.2048192771084338,3.2911674407732656,406.42857142857144,0.9350716180812078,2.356095822692058
2024-09-26,392,11,2.806122448979592,3.046360074727574,437.14285714285717,1.0057360813105434,2.0406239934170305
2024-09-27,157,1,0.6369426751592356,2.4020577678175488,420.7142857142857,0.9679388102808987,1.4341189575366502
2024-09-28,409,6,1.466992665036675,2.307676780755919,465.7142857142857,1.0714704657099252,1.2362063150459937
2024-09-29,589,24,4.074702886247878,2.5706804822277562,466.7142857142857,1.0737711691639036,1.4969093130638527
2024-09-30,39,3,7.6923076923076925,3.203109277921858,402.2857142857143,0.9255401323432974,2.2775691455785605
2024-10-01,103,0,0.0,2.5545553778342156,300.57142857142856,0.6915257238814977,1.8630296539527178
2024-10-02,161,4,2.484472049689441,2.737362916774359,264.2857142857143,0.6080430556942826,2.1293198610800763
2024-10-03,426,12,2.816901408450704,2.7389027681273754,269.14285714285717,0.6192179010421777,2.1196848670851978
2024-10-04,1027,40,3.8948393378773125,3.2043165770871007,393.42857142857144,0.905162473179489,2.299154103907612
2024-10-05,227,2,0.8810572687224669,3.120611520470785,367.42857142857144,0.8453441833760514,2.2752673370947334
2024-10-06,545,4,0.7339449541284404,2.643360387310865,361.14285714285717,0.8308826188081874,1.8124777685026778
2024-10-07,503,34,6.759443339960239,2.510094051261229,427.42857142857144,0.9833863906147534,1.5267076606464758
2024-10-08,888,20,2.2522522522522523,2.8318443730115512,539.5714285714286,1.2413938493823273,1.590450523629224
2024-10-09,655,8,1.2213740458015268,2.6514018010275633,610.1428571428571,1.4037577788488007,1.2476440221787626
2024-10-10,1134,27,2.380952380952381,2.5891233685278023,711.2857142857143,1.6364574996226129,0.9526658689051895
2024-10-11,667,38,5.697151424287856,2.846596523729309,659.8571428571429,1.5181356077037254,1.3284609160255838
2024-10-12,1678,59,3.5160905840286056,3.2230298544873284,867.1428571428571,1.995038566521241,1.2279912879660875
2024-10-13,748,33,4.411764705882353,3.748432676166459,896.1428571428571,2.0617589666866136,1.6866737094798454
2024-10-14,628,24,3.821656050955414,3.3287487777371987,914.0,2.1028429569362275,1.2259058208009712
2024-10-15,350,7,2.0,3.2927127417011626,837.1428571428571,1.92601746290189,1.3666952787992726
2024-10-16,733,23,3.1377899045020463,3.566486435801237,848.2857142857143,1.9516538728176491,1.614832562983588
2024-10-17,399,5,1.2531328320802004,3.405369357390925,743.2857142857143,1.7100800101499205,1.6952893472410047
2024-10-18,942,45,4.777070063694268,3.273929163020412,782.5714285714286,1.8004647886990706,1.4734643743213416
2024-10-19,1088,26,2.389705882352941,3.113017062781032,698.2857142857143,1.606548354720894,1.506468708060138
2024-10-20,690,9,1.3043478260869565,2.6691003656674037,690.0,1.5874853832450733,1.0816149824223305
2024-10-21,860,18,2.0930232558139537,2.4221528235043377,723.1428571428571,1.663737269148356,0.7584155543559816
2024-10-22,971,14,1.4418125643666324,2.3424117612709994,811.8571428571429,1.8678425327084371,0.47456922856256223
2024-10-23,1123,42,3.739982190560997,2.4284392307079927,867.5714285714286,1.9960245822872318,0.43241464842076094
2024-10-24,719,9,1.2517385257301807,2.4282400440865612,913.2857142857143,2.101199597326243,0.3270404467603183
2024-10-25,290,3,1.0344827586206897,1.893584714790336,820.1428571428571,1.8869055041842577,0.006679210606078234
2024-10-26,211,2,0.9478672985781991,1.6876077742510869,694.8571428571429,1.598660228592968,0.0889475456581188
2024-10-27,202,3,1.4851485148514851,1.7134364440745913,625.1428571428571,1.4382683306584763,0.275168113416115
2024-10-28,248,8,3.225806451612903,1.8752626149030125,537.7142857142857,1.2371211143963674,0.6381415005066451
2024-10-29,130,5,3.8461538461538463,2.2187399408726143,417.57142857142856,0.9607080279969666,1.2580319128756476
2024-10-30,1035,35,3.3816425120772946,2.1675485582320855,405.0,0.9317848988612386,1.2357636593708468
2024-10-31,267,7,2.6217228464419478,2.363260604048052,340.42857142857144,0.7832251901186356,1.5800354139294164
2024-11-01,160,8,5.0,2.929763067102239,321.85714285714283,0.7404978402590372,2.189265226843202
2024-11-02,266,3,1.1278195488721805,2.955470531429951,329.7142857142857,0.7585747959688672,2.196895735461084
2024-11-03,283,3,1.0600706713780919,2.8947451252194663,341.2857142857143,0.7851972216506169,2.109547903568849
2024-11-04,671,17,2.5335320417287632,2.7958487809503034,401.7142857142857,0.9242254446553096,1.8716233362949937
2024-11-05,395,5,1.2658227848101267,2.427230057901201,439.57142857142856,1.0113235039844908,1.4159065539167102
2024-11-06,490,6,1.2244897959183674,2.119065384164211,361.7142857142857,0.8321973064961751,1.2868680776680361
2024-11-07,504,8,1.5873015873015872,1.971290918572731,395.57142857142856,0.9100925520094425,1.0611983665632885
2024-11-08,1299,22,1.6936104695919938,1.4989495570858729,558.2857142857143,1.2844498711639227,0.21449968592195012
2024-11-09,629,11,1.7488076311605723,1.587662140269929,610.1428571428571,1.4037577788488007,0.1839043614211282
2024-11-10,327,9,2.7522935779816513,1.8294082697847232,616.4285714285714,1.4182193434166648,0.41118892636805837
2024-11-11,3228,57,1.7657992565055762,1.7197321576099822,981.7142857142857,2.2586334479627626,-0.5389012903527803
2024-11-12,1085,24,2.2119815668202767,1.8548976978971463,1080.2857142857142,2.48541707414063,-0.6305193762434838
2024-11-13,1444,45,3.1163434903047094,2.1251625113809096,1216.5714285714287,2.798970087725682,-0.6738075763447724
2024-11-14,992,25,2.5201612903225805,2.2584281832410515,1286.2857142857142,2.9593619856601734,-0.7009338024191218
2024-11-15,439,38,8.656036446469248,3.2530604656520876,1163.4285714285713,2.6767041327428314,0.5763563329092563
2024-11-16,853,32,3.7514654161781946,3.5391544349403192,1195.4285714285713,2.7503266432701388,0.7888277916701805
2024-11-17,1665,38,2.2822822822822824,3.4720099641261237,1386.5714285714287,3.1900896749020045,0.28192028922411927
2024-11-18,1711,33,1.928696668614845,3.4952810229988764,1169.857142857143,2.6914943692326925,0.803786653766184
2024-11-19,1555,29,1.864951768488746,3.445705337522944,1237.0,2.84597017257124,0.5997351649517042
2024-11-20,661,10,1.51285930408472,3.216636168062945,1125.142857142857,2.5886200576476597,0.6280161104152855
2024-11-21,1419,18,1.2684989429175475,3.0378272612907975,1186.142857142857,2.72896296834034,0.3088642929504575
2024-11-22,989,7,0.7077856420626896,1.9023628606612895,1264.7142857142858,2.9097325254386406,-1.0073696647773511
2024-11-23,2001,50,2.498750624687656,1.7234036047340697,1428.7142857142858,3.287047891891093,-1.563644287157023
2024-11-24,1576,18,1.1421319796954315,1.5605249900788052,1416.0,3.2577960908333674,-1.6972711007545622
2024-11-25,1882,50,2.656748140276302,1.664532343173299,1440.4285714285713,3.3139989894948387,-1.6494666463215397
2024-11-26,1299,53,4.080061585835258,1.9809766027942293,1403.857142857143,3.22985897746363,-1.2488823746694009
2024-11-27,2167,34,1.5689893862482696,1.9889951859604509,1619.0,3.724838891990976,-1.735843706030525
2024-11-28,1618,12,0.7416563658838071,1.9137319606699161,1647.4285714285713,3.7902446044683606,-1.8765126437984445
2024-11-29,1191,15,1.2594458438287153,1.9925405609222058,1676.2857142857142,3.856636332711737,-1.864095771789531
2024-11-30,2277,56,2.4593763724198507,1.9869156677410906,1715.7142857142858,3.947349783182884,-1.9604341154417932
2024-12-01,598,25,4.1806020066889635,2.4209828144544523,1576.0,3.625908643469906,-1.2049258290154539
2024-12-02,463,4,0.8639308855291576,2.1648660637762887,1373.2857142857142,3.1595231861562914,-0.9946571223800027
2024-12-03,1374,16,1.1644832605531295,1.7483548744502706,1384.0,3.18417358030606,-1.4358187058557894
2024-12-04,663,16,2.4132730015082955,1.868966819487417,1169.142857142857,2.689851009622708,-0.820884190135291
2024-12-05,483,11,2.277432712215321,2.0883634403919187,1007.0,2.3168083781562157,-0.22844493776429697
2024-12-06,854,17,1.990632318501171,2.1928186510594125,958.8571428571429,2.206045940443257,-0.013227289383844543
2024-12-07,248,3,1.2096774193548387,2.0142902291929823,669.0,1.5391706107115275,0.4751196184814548
2024-12-08,1394,25,1.793400286944046,1.6732614120865656,782.7142857142857,1.8007934606210674,-0.12753204853450173
2024-12-09,925,22,2.3783783783783785,1.8896110539221684,848.7142857142857,1.9526398885836396,-0.06302883466147113
2024-12-10,303,6,1.9801980198019802,2.0061417338148617,695.7142857142857,1.6006322601249494,0.4055094736899123
2024-12-11,394,11,2.7918781725888326,2.0602281868263668,657.2857142857143,1.512219513107781,0.5480086737185859
2024-12-12,436,4,0.9174311926605505,1.8659422554613998,650.5714285714286,1.4967719327739262,0.36917032268747363
2024-12-13,1204,16,1.3289036544850499,1.7714095891733823,700.5714285714286,1.6118071054728444,0.15960248370053787
2024-12-14,349,3,0.8595988538681948,1.7213983655324332,715.0,1.6450029695945323,0.0763953959379009
2024-12-15,728,6,0.8241758241758241,1.582937727994116,619.8571428571429,1.4261074695445906,0.15683025844952536
2024-12-16,615,7,1.1382113821138211,1.4057710142420363,575.5714285714286,1.3242191737255486,0.08155184051648767
2024-12-17,97,2,2.0618556701030926,1.4174363928564806,546.1428571428571,1.2565127577941853,0.16092363506229534
2024-12-18,1183,15,1.267962806424345,1.1997341976901252,658.8571428571429,1.515834904249747,-0.31610070655962175
2024-12-19,291,4,1.3745704467353952,1.2650398054151033,638.1428571428571,1.4681774755601948,-0.20313767014509154
2024-12-20,509,14,2.75049115913556,1.4681237346508904,538.8571428571429,1.239750489772343,0.22837324487854738
2024-12-21,313,17,5.431309904153355,2.121225313263056,533.7142857142857,1.227918300580454,0.8933070126826019
